ENVST-UA,Environmental Studies
MPAPS-GE,Music Instrumental: Percussion
APSY-GE,Applied Psychology
MEDI-GA,Medieval & Renaissance Studies
LWSOC-GA,Law and Society
APRGS-UF,Approaches to Global Studies
PCL04-DN,Preclinical Skills
TRAVL-UG,Travel Courses
BAS06-DN,Basic Sciences
CHDED-UE,Childhood Education
CLS07-DN,Clinical Sciences
CLS11-DN,Clinical Sciences
PDPSA-GA,Psychotherapy & Psychoanalysis
BILED-GE,Bilingual Education
HMSS-GE,Humanities & Social Sciences in the Professions
CRWRI-GA,Creative Writing
ARCS-GE,Costume Studies
ANTH-UH,Anthropology
FOOD-GE,Food Studies
CHEM-GA,Chemistry
MCC-UE,"Media, Culture & Communication"
DRLIT-UA,Dramatic Literature
LISCI-UF,Life Science
MG-UY,Management
ECED-UE,Early Childhood
BI-GY,Bioinformatics
SCA-UA,Social and Cultural Analysis
SDHM-SHU,Self-Designed Honors Major
MSMS-GA,Museum Studies
COLLQ-UG,Colloquium
MPAVP-GE,Music Instrumental: Voice
TCSB1-GC,Sports Business Magmt. MA/GC
CLS05-DN,Clinical Sciences
FIRST-UG,First Year program
EXLII-UF,Experiential Learning II
SOED-GE,Sociology of Education
CLS10-DN,Clinical Sciences
NURSE-UN,Nursing - Undergraduate
NEURL-GA,Neural Science
MSWPF-GS,Professional Foundation Courses
CCEA-UH,Core: Cultural Exploration & Analysis
DGSCI-DN,Diagnostic Sciences
OART-GT,Open Arts Curriculum
MPASS-UE,Music Instrumental: Strings
MAINT-GB,Maintenance
ANST-UA,Animal Studies
NURSE-GN,Nursing - Graduate
EXLI-SHU,Experiential Learning
ORBC1-UC,Organizational Behavior and Change
MKTG-SHU,Marketing
PSYC-SHU,Psychology
SOCY1-UC,Sociology
DWPG-UT,Dramatic Writing
INFO-GB,Information Systems
ENGED-UE,English Education
PHDSW-GS,Doctoral
MPAWW-GE,Music Instrumental: Woodwinds
QUAL1-GC,Quality Assurance
REMU-UT,Recorded Music
CCEX-SHU,Exper Discovery in Natural World
FINC-UB,Finance
POLS1-UC,Politics
DESG-GT,Design
OT-UE,Occupational Therapy
EHSC-GA,Environmental Health Science
URB-UY,Urban Studies
MULT-UB,Multidisciplinary
MPABR-UE,Music Instrumental: Brass
MATH-SHU,Mathematics
STAT-UB,Statistics & Operations Research
CCCF-SHU,Cultural Foundations
ARCS-UE,Art and Costume Studies
DGS06-DN,Diagnostic Sciences
PRACT-UG,Practicum
JIRS-UF,Junior Independent Research Seminar
FILV1-UC,Digital Communications & Media
EAST-GA,East Asian Studies
PHED-GE,Philosophy of Education
BASCI-CD,Basic Sciences
CFIII-UF,Cultural Foundations III
APR-UF,Approaches: Sophomore Seminar
RELST-UA,Religious Studies
REBS1-UC,Schack Undergraduate Real Esta
NONCR-GP,Noncredit course
COR2-GB,"Core Course, capstone"
EXLI-UF,Experiential Learning I
FDGR1-GC,Fundraising MS
ADAV1-UC,Applied Data Analytics and Visualization
EMAT-GE,Social Studies Education - Distance Format
SFIII-UF,Social Foundations III
IRISH-UA,Irish Studies
DACP1-ND,Dental Assisting Certificate Program
INTE-UE,International Education
DHYG2-UD,Dental Hygiene Level 2
SFMTV-UT,Spr Sem at Tisch - Film & TV
FINH-GA,Fine Arts
LITR1-UC,Literature
EDCT-GE,Educational Communications & Technology
EAGC-UF,East Asian Cultures- Global Cultures
HIST-SHU,History
MKTG-UB,Marketing
REHAB-GE,Rehabilitation Sciences
BIOL-UA,Biology
MAINT-DN,Maintenance
ISPEC-GT,Int'l Pgms TSOA Special Programs
MAINT-GU,Maintenance
MPAIA-UE,Interactive Music Courses
PRECL-DN,Intro to Clinics
ARTED-GE,Art Education
IDSEM-UG,Interdisciplinary Seminars
MUSIC-GA,Music
ELEC-UF,Topics in Humanities
POLSC-UH,Political Science
EXWR1-UC,Expository Writing
INTRL-UA,International Relations
ETH05-DN,Ethics
SCHOL-UA,CAS Scholars Program
LEAD-UH,Leadership and Social Entrepreneurship
FRMED-MD,Forensic Medicine
EE-UY,Elect. Engineering - EE UGRD
MGMT-SHU,Management
SOCED-UE,Social Studies Education
CSCI-SHU,Computer Science
PHYED-UH,Physical Education
GAMES-GT,Game Design
CP-UY,Co-op Education Program
GERM-UA,German
BT-GY,Biotechnology
YFW-NH,Young Filmmakers Workshop
FIN-UY,Finance
PORT-UA,Portuguese
SHBI-GB,Graduate Stern/NYU Shanghai Degree
ANTH-GA,Anthropology
INTER-MD,Interdepartmental
ARTP-UE,Art & Art Professions
LATC-UA,Latin Amer-Caribbean Studies
MPAMT-UE,Music Therapy
COLIT-UA,Comparative Literature
ECON-UA,Economics
MAINT-UE,Maintenance
GLBL-SHU,Global Programs
MSWAC-GS,Advanced Concentration Courses
ARABL-UH,Arabic Language
MPAMT-GE,Music Therapy
MHA-GP,Health Administration
SCHOL-GG,Scholarly Communities
CCSF-SHU,Social Foundations
DGS03-DN,Diagnostic Sciences
TCHL-UE,Teaching & Learning
PHTI-NT,Future Imagemakers Workshop
MTRO-NE,Excel - NYU Connect
POL-GA,Politics
BEHSC-CD,Behavioral Sciences
MPAPE-GE,Music Instrumental: Piano
IDANC-UT,"Int`l Pgms, Dance"
SMSP-UH,Sheik Mohamed bin Zayed Scholars Program
SCIED-GE,Science Education
MAINT-GT,Maintenance
ENGL-GA,English
AH-UY,Art History
IMPLA-DN,Implant Dentistry
BMSC-GA,Basic Medical Science
PHD-GP,Doctoral course
EURO-GA,European and Mediterranean Studies
RESL-NZ,Residential College
MUS-SHU,Music
STEP-NZ,STEP Program
CLS08-DN,Clinical Sciences
FRE-GY,Finance and Risk Engineering
DS-GA,Data Science
ME-UY,Mechanical Engineering
LING-GA,Linguistics
CEH-GA,Center for Experimental Humanities
NCRD-UT,Non-Credit TSOA Courses
ARTS-UG,Arts Workshops
CCST-SHU,Core Science
TRAN1-GC,Translation
TCHS1-GC,Hospitality Management MA/GC
RUSSN-UA,Russian & Slavic Studies
SOC-GA,Sociology
CS-UH,Computer Science
MA-GY,Mathematics
SCMTH-GE,Science & Mathematics Education
TCHT1-UC,Hotel & Tourism Management
DHYG3-UD,Dental Hygiene BS
LATC-GA,Latin Amer-Caribbean Studies
ENGR-NY,Engineering
ASPP-GT,"Ctr for Art, Society & Pub Pol"
CRED1-DC,Credit Analysis Diploma
RE-GY,Registrar
PCL02-DN,Preclinical Skills
CLS04-DN,Clinical Sciences
DCADV-GE,Doctoral Advisement
MPAWW-UE,Music Instrumental: Woodwinds
CEL-SHU,Community-Engaged Learning
CLSCI-DN,Clinical Sciences
UNGHG,University of Ghana Courses
RWLD1-UC,Real World Undergraduate
ECON-GB,Economics
CORE-GP,School-wide core course
ENGL-UA,English
LAGC-UF,Latin American Cultures- Global Cultures
INFO-UB,Computing and Data Science
PMC-NS,Post Master's Certificate
